樹木編號,樹種,區域,地址,GPS緯度,GPS經度,樹高_公尺,冠幅_公尺,冠幅_公尺1
1,楓香,龜山,1_龜山鄉楓樹坑楓香老樹,25.031347,121.358119,15.64,16.53,16.94
4,樟樹,楊梅,4_楊梅錫福宮正後方40公尺老樟樹,24.907259,121.142996,12.86,27.09,9.1
5,樟樹,楊梅,5_楊梅錫福宮右後方35公尺老樟樹,24.907398,121.142902,14.35,14.57,20.92
7,雀榕,楊梅,7_楊梅錫福宮伯公山老雀榕,24.907205,121.143045,12.8,9.02,12.77
9,榕樹,楊梅,9_楊梅錫福宮後面左邊老榕樹,24.907106,121.142867,15.69,16.08,18.04
10,樟樹,楊梅,10_楊梅錫福宮正後面最近的老樟樹,24.907129,121.142809,10.66,10.34,8.85
11,榕樹,楊梅,11_楊梅回善寺老榕樹,24.90405,121.153887,7.5,12.52,8.27
13,茄苳,復興,13_復興北橫老茄苳,24.810223,121.352166,15.3,18.62,15.94
16,茄苳,大溪,16_大溪中央老茄苳,24.878686,121.287762,11.12,12.71,13.91
18,樟樹,大溪,18_大溪仁和老樟樹,24.895105,121.274599,12.25,16.21,14.29
22,榕樹,大溪,22_大溪永昌宮老榕樹(左),24.904067,121.265198,6.39,10.88,12.41
23,榕樹,大溪,23_大溪永昌宮老榕樹(右),24.904322,121.265325,8.46,14.13,11.89
25,茄苳,大溪,25_大溪三角公園老茄苳,24.883103,121.287445,12.55,16.32,16.16
26,茄苳,大溪,26_大溪內柵老茄苳,24.842768,121.277798,16.95,16.64,16.01
27,榕樹,大溪,27_大溪蓮座觀音老榕樹,24.871907,121.280771,11.15,22.41,20.66
28,榕樹,大溪,28_大溪仁和宮老榕樹(右),24.901728,121.275871,8.07,12.5,12.27
29,茄苳,大溪,29_大溪福安宮老茄苳,24.858368,121.296332,13.37,21.05,14.6
30,榕樹,平鎮,30_平鎮福星老榕樹,24.911906,121.206784,10.97,18.38,16.25
31,榕樹,平鎮,31_平鎮東勢老榕樹,24.910213,121.231528,12.58,23.64,12.61
32,榕樹,平鎮,32_平鎮東勢老榕樹,24.910213,121.231528,11.57,15,10.86
